timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1632246937870,927,GET /tasks,200,,Find Tasks Group 3-8,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,895,0,0
1632246936719,2083,GET /tasks/id,200,,Find Tasks Group 3-1,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,860,0,0
1632246936730,2074,GET /tasks/id,200,,Find Tasks Group 3-13,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,849,0,0
1632246936694,2216,GET /tasks/id,200,,Find Tasks Group 3-2,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,886,0,0
1632246933343,5587,POST /task,201,,Manage Tasks Group 2-16,text,true,,729,616,20,40,http://localhost:8080/api/v1/tasks,4241,0,1
1632246933443,5489,POST /task,201,,Manage Tasks Group 2-18,text,true,,729,616,20,40,http://localhost:8080/api/v1/tasks,4483,0,1
1632246937663,1272,GET /tasks/id,200,,Find Tasks Group 3-18,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,510,0,0
1632246937716,1222,GET /tasks,200,,Find Tasks Group 3-11,text,true,,1447,346,20,40,http://localhost:8080/api/v1/tasks,457,0,0
1632246937593,1347,GET /tasks/id,200,,Find Tasks Group 3-10,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,581,0,0
1632246938009,935,GET /tasks,200,,Find Tasks Group 3-6,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,601,0,0
1632246937599,1347,GET /tasks,200,,Find Tasks Group 3-3,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1012,0,0
1632246938379,570,GET /tasks,200,,Find Tasks Group 3-5,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,237,0,0
1632246932944,6013,POST /task,201,,Manage Tasks Group 2-8,text,true,,729,616,20,40,http://localhost:8080/api/v1/tasks,5678,0,2
1632246937912,1046,GET /tasks,200,,Find Tasks Group 3-9,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,700,0,0
1632246937713,1247,GET /tasks/id,200,,Find Tasks Group 3-15,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,903,0,0
1632246937925,1037,GET /tasks/id,200,,Find Tasks Group 3-19,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,842,0,0
1632246938646,606,GET /tasks,200,,Find Tasks Group 3-7,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,427,0,0
1632246938431,990,GET /tasks,200,,Find Tasks Group 3-17,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,640,0,0
1632246938634,1043,GET /tasks,200,,Find Tasks Group 3-14,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,440,0,0
1632246938377,1333,GET /tasks,200,,Find Tasks Group 3-12,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,701,0,0
1632246933244,6474,POST /task,201,,Manage Tasks Group 2-14,text,true,,729,616,20,40,http://localhost:8080/api/v1/tasks,5841,0,1
1632246938102,1620,GET /tasks,200,,Find Tasks Group 3-4,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1152,0,0
1632246938366,1359,GET /tasks,200,,Find Tasks Group 3-20,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,892,0,0
1632246938798,1054,GET /tasks/id,200,,Find Tasks Group 3-8,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,621,0,0
1632246938950,1276,GET /tasks/id,200,,Find Tasks Group 3-5,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,469,0,0
1632246933293,6956,POST /task,201,,Manage Tasks Group 2-15,text,true,,729,616,20,40,http://localhost:8080/api/v1/tasks,6135,0,1
1632246938945,1392,GET /tasks/id,200,,Find Tasks Group 3-6,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,871,0,0
1632246938802,1592,GET /tasks,200,,Find Tasks Group 3-1,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1018,0,0
1632246938936,1758,GET /tasks,200,,Find Tasks Group 3-18,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,884,0,0
1632246940338,374,GET /tasks,200,,Find Tasks Group 3-6,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,362,0,0
1632246938946,1924,GET /tasks/id,200,,Find Tasks Group 3-3,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,877,0,0
1632246938645,2232,GET /tasks,200,,Find Tasks Group 3-16,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1180,0,0
1632246938803,2078,GET /tasks,200,,Find Tasks Group 3-13,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1026,0,0
1632246932994,7894,POST /task,201,,Manage Tasks Group 2-9,text,true,,729,616,20,40,http://localhost:8080/api/v1/tasks,6856,0,1
1632246938960,1935,GET /tasks,200,,Find Tasks Group 3-15,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,961,0,0
1632246933094,7912,POST /task,201,,Manage Tasks Group 2-11,text,true,,729,616,20,40,http://localhost:8080/api/v1/tasks,7350,0,10
1632246938910,2100,GET /tasks,200,,Find Tasks Group 3-2,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1534,0,0
1632246939422,1589,GET /tasks/id,200,,Find Tasks Group 3-17,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,1025,0,0
1632246939711,1304,GET /tasks/id,200,,Find Tasks Group 3-12,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,735,0,0
1632246939723,1575,GET /tasks/id,200,,Find Tasks Group 3-4,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,725,0,0
1632246938962,2342,GET /tasks,200,,Find Tasks Group 3-19,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1670,0,0
1632246939253,2055,GET /tasks/id,200,,Find Tasks Group 3-7,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,1359,0,0
1632246938941,2370,GET /tasks,200,,Find Tasks Group 3-10,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1695,0,0
1632246938959,2355,GET /tasks/id,200,,Find Tasks Group 3-9,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,1488,0,0
1632246939853,1466,GET /tasks,200,,Find Tasks Group 3-8,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,852,0,0
1632246940227,1099,GET /tasks,200,,Find Tasks Group 3-5,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,483,0,0
1632246940394,941,GET /tasks/id,200,,Find Tasks Group 3-1,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,934,0,0
1632246939727,1619,GET /tasks/id,200,,Find Tasks Group 3-20,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,1130,0,0
1632246933153,8195,POST /task,201,,Manage Tasks Group 2-12,text,true,,729,616,20,40,http://localhost:8080/api/v1/tasks,7857,0,3
1632246938938,2414,GET /tasks/id,200,,Find Tasks Group 3-11,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,2363,0,0
1632246939678,1674,GET /tasks/id,200,,Find Tasks Group 3-14,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,1629,0,0
1632246933193,8763,POST /task,201,,Manage Tasks Group 2-13,text,true,,729,616,20,40,http://localhost:8080/api/v1/tasks,8694,0,1
1632246933122,10115,PUT /task/id,204,,Manage Tasks Group 2-1,,true,,359,640,20,40,http://localhost:8080/api/v1/tasks/99,0,0,0
