timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1632247767288,560,GET /tasks,200,,Find Tasks Group 3-4,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,477,0,0
1632247767346,507,GET /tasks/id,200,,Find Tasks Group 3-5,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,455,0,0
1632247767412,443,GET /tasks,200,,Find Tasks Group 3-15,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,392,0,0
1632247767414,447,GET /tasks,200,,Find Tasks Group 3-17,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,396,0,0
1632247767398,463,GET /tasks,200,,Find Tasks Group 3-16,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,401,0,0
1632247767429,435,GET /tasks,200,,Find Tasks Group 3-8,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,407,0,0
1632247767432,436,GET /tasks,200,,Find Tasks Group 3-18,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,413,0,0
1632247767432,444,GET /tasks,200,,Find Tasks Group 3-1,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,413,0,0
1632247767395,502,GET /tasks/id,200,,Find Tasks Group 3-9,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,451,0,0
1632247767417,481,GET /tasks,200,,Find Tasks Group 3-13,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,430,0,0
1632247760072,8153,POST /task,201,,Manage Tasks Group 2-2,text,true,,729,616,20,40,http://localhost:8080/api/v1/tasks,8152,0,0
1632247767704,527,GET /tasks/id,200,,Find Tasks Group 3-3,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,526,0,0
1632247767410,826,GET /tasks/id,200,,Find Tasks Group 3-7,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,821,0,0
1632247767783,454,GET /tasks,200,,Find Tasks Group 3-12,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,452,0,0
1632247767769,473,GET /tasks,200,,Find Tasks Group 3-14,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,467,0,0
1632247767784,462,GET /tasks/id,200,,Find Tasks Group 3-20,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,457,0,0
1632247767869,378,GET /tasks/id,200,,Find Tasks Group 3-18,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,375,0,0
1632247767862,463,GET /tasks/id,200,,Find Tasks Group 3-16,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,384,0,0
1632247767768,566,GET /tasks,200,,Find Tasks Group 3-10,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,517,0,0
1632247767849,485,GET /tasks/id,200,,Find Tasks Group 3-4,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,442,0,0
1632247767853,487,GET /tasks,200,,Find Tasks Group 3-5,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,439,0,0
1632247767877,465,GET /tasks/id,200,,Find Tasks Group 3-1,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,418,0,0
1632247767857,492,GET /tasks/id,200,,Find Tasks Group 3-15,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,440,0,0
1632247767865,503,GET /tasks/id,200,,Find Tasks Group 3-8,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,432,0,0
1632247767861,512,GET /tasks/id,200,,Find Tasks Group 3-17,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,436,0,0
1632247767797,612,GET /tasks,200,,Find Tasks Group 3-2,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,513,0,0
1632247767777,639,GET /tasks,200,,Find Tasks Group 3-6,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,534,0,0
1632247767812,619,GET /tasks,200,,Find Tasks Group 3-19,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,504,0,0
1632247767778,656,GET /tasks/id,200,,Find Tasks Group 3-11,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,540,0,0
1632247760328,8267,POST /task,201,,Manage Tasks Group 2-19,text,true,,729,616,20,40,http://localhost:8080/api/v1/tasks,8265,0,0
1632247767899,766,GET /tasks/id,200,,Find Tasks Group 3-13,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,703,0,0
1632247768243,460,GET /tasks/id,200,,Find Tasks Group 3-14,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,438,0,0
1632247768238,466,GET /tasks/id,200,,Find Tasks Group 3-12,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,364,0,0
1632247768232,499,GET /tasks,200,,Find Tasks Group 3-3,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,378,0,0
1632247767897,836,GET /tasks,200,,Find Tasks Group 3-9,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,716,0,0
1632247768342,393,GET /tasks/id,200,,Find Tasks Group 3-5,text,true,,609,348,20,40,http://localhost:8080/api/v1/tasks/1,306,0,0
1632247768343,395,GET /tasks,200,,Find Tasks Group 3-1,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,305,0,0
1632247768248,492,GET /tasks,200,,Find Tasks Group 3-18,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,403,0,0
1632247768246,496,GET /tasks,200,,Find Tasks Group 3-20,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,406,0,0
1632247768236,512,GET /tasks,200,,Find Tasks Group 3-7,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,426,0,0
1632247768374,375,GET /tasks,200,,Find Tasks Group 3-17,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,290,0,0
